id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,home_win,away_win,draw,over_2_5,under_2_5,home_goals,away_goals
b33e91dedc34bd50ddd02097f933f7bc,soccer_epl,EPL,2023-09-24T13:00:00Z,Arsenal,Tottenham Hotspur,williamhill,William Hill,1.65,4.33,4.4,1.53,2.38,0.0,0.0
74a747a8cd2ad057e7e1f432d608ce63,soccer_epl,EPL,2023-09-24T13:00:00Z,Chelsea,Aston Villa,williamhill,William Hill,1.8,4.2,3.9,1.73,2.0,0.0,0.0
73f6f4db270424113488eef28af56751,soccer_epl,EPL,2023-09-24T13:00:00Z,Brighton and Hove Albion,Bournemouth,williamhill,William Hill,1.35,7.5,5.5,1.4,2.75,0.0,0.0
9cd2dab20828bbf6ccd694853f2c5215,soccer_epl,EPL,2023-09-24T13:00:00Z,Liverpool,West Ham United,williamhill,William Hill,1.44,6.5,4.8,1.44,2.62,0.0,0.0
8210c0ad84e05ca0c1d6e008d5d2c274,soccer_epl,EPL,2023-09-24T15:30:00Z,Sheffield United,Newcastle United,williamhill,William Hill,7.5,1.4,4.75,1.6,2.25,0.0,0.0
e7b082ebc713eaf26496bba4d2995544,soccer_france_ligue_one,Ligue 1 - France,2023-09-15T19:00:00Z,Paris Saint Germain,Nice,williamhill,William Hill,1.44,6.5,4.6,1.6,2.25,2.0,3.0
90b8ec5409cb8ed10f029fe1b92c5afa,soccer_france_ligue_one,Ligue 1 - France,2023-09-16T15:00:00Z,Rennes,Lille,williamhill,William Hill,2.1,3.25,3.6,1.7,2.05,2.0,2.0
22fac8694b122e232bd9ed0e99bfcb15,soccer_france_ligue_one,Ligue 1 - France,2023-09-16T19:00:00Z,RC Lens,Metz,williamhill,William Hill,1.5,6.0,4.4,1.67,2.1,0.0,1.0
e4b7831859133ea71c79f8aa2c63bece,soccer_france_ligue_one,Ligue 1 - France,2023-09-17T11:00:00Z,Lorient,AS Monaco,williamhill,William Hill,3.9,1.8,4.0,1.62,2.2,2.0,2.0
af5f4ce01fed7bd364dd317a644a0148,soccer_france_ligue_one,Ligue 1 - France,2023-09-17T13:00:00Z,Stade de Reims,Brest,williamhill,William Hill,1.85,3.9,3.8,1.8,1.91,1.0,2.0
4bbde77a9239dafb04c20dcfb5c36634,soccer_france_ligue_one,Ligue 1 - France,2023-09-17T13:00:00Z,Clermont,Nantes,williamhill,William Hill,1.95,3.7,3.6,1.91,1.8,0.0,1.0
314f908ddf4c604c28fe930b609b362c,soccer_france_ligue_one,Ligue 1 - France,2023-09-17T13:00:00Z,Strasbourg,Montpellier,williamhill,William Hill,2.3,2.9,3.6,1.8,1.91,2.0,2.0
348cea810f73019be11a48accf435a7b,soccer_france_ligue_one,Ligue 1 - France,2023-09-17T15:05:00Z,Marseille,Toulouse,williamhill,William Hill,1.44,6.0,4.75,1.53,2.38,0.0,0.0
334b4960fb98587c66906b529bba4a5c,soccer_france_ligue_one,Ligue 1 - France,2023-09-17T18:45:00Z,Lyon,Le Havre,williamhill,William Hill,1.7,4.5,4.0,1.7,2.05,0.0,0.0
b4c54b563195da436c9620d1f2f78676,soccer_france_ligue_one,Ligue 1 - France,2023-09-22T19:00:00Z,AS Monaco,Nice,williamhill,William Hill,1.85,3.7,4.0,1.62,2.2,0.0,0.0
1e7cc2eb935be9b24952e6b6e9ca2bad,soccer_france_ligue_one,Ligue 1 - France,2023-09-23T15:00:00Z,Nantes,Lorient,williamhill,William Hill,2.15,3.1,3.7,1.85,1.85,0.0,0.0
4fea873643ebc36c286ecb7a75dfbf4f,soccer_france_ligue_one,Ligue 1 - France,2023-09-23T19:00:00Z,Brest,Lyon,williamhill,William Hill,2.75,2.38,3.7,1.62,2.2,0.0,0.0
205cd8d341e9d5dda3d7d7e3f28ddd02,soccer_france_ligue_one,Ligue 1 - France,2023-09-24T11:00:00Z,Metz,Strasbourg,williamhill,William Hill,3.0,2.3,3.5,2.0,1.73,0.0,0.0
666ebf834f88204413a38aa68da4c7a1,soccer_france_ligue_one,Ligue 1 - France,2023-09-24T13:00:00Z,Le Havre,Clermont,williamhill,William Hill,2.62,2.6,3.5,1.91,1.8,0.0,0.0
522f9863e3a020bb1393ced9fba6b4c1,soccer_france_ligue_one,Ligue 1 - France,2023-09-24T13:00:00Z,RC Lens,Toulouse,williamhill,William Hill,1.62,4.75,4.33,1.6,2.25,0.0,0.0
d48efcb124c678d9376a7e364fde826f,soccer_france_ligue_one,Ligue 1 - France,2023-09-24T15:05:00Z,Montpellier,Rennes,williamhill,William Hill,2.75,2.38,3.6,1.73,2.0,0.0,0.0
1b8154ba015ca07829bf75d95f2591b6,soccer_france_ligue_one,Ligue 1 - France,2023-09-24T18:45:00Z,Paris Saint Germain,Marseille,williamhill,William Hill,1.6,4.8,4.5,1.53,2.38,0.0,0.0
