team_name,dates,wins,defeats,draws,exp_wins,exp_defeats,exp_draws,under_2_5,over_2_5,exp_under_2_5,exp_over_2_5
AC Milan,"['2023-08-21T18:45:00Z', '2023-08-26T18:45:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.2777777777777778, 0.625]","[0.5, 0.18181818181818182]","[0.2857142857142857, 0.25]","[1, 1]","[0, 0]","[0.5780346820809249, 0.5780346820809249]","[0.5, 0.5]"
Monza,"['2023-08-19T18:45:00Z', '2023-08-26T16:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.125, 0.25]","[0.7352941176470588, 0.5235602094240838]","[0.2, 0.2857142857142857]","[1, 1]","[0, 0]","[0.45454545454545453, 0.5555555555555556]","[0.6172839506172839, 0.5235602094240838]"
Metz,['2023-08-18T19:00:00Z'],[0],[0],[1],[0.5780346820809249],[0.22727272727272727],[0.25641025641025644],[1],[0],[0.48780487804878053],[0.5882352941176471]
Union Berlin,"['2023-08-20T13:30:00Z', '2023-08-26T13:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.26666666666666666, 0.48780487804878053]","[0.5, 0.2857142857142857]","[0.29411764705882354, 0.2857142857142857]","[1, 1]","[0, 0]","[0.5882352941176471, 0.5555555555555556]","[0.48780487804878053, 0.5235602094240838]"
Everton,"['2023-08-20T13:00:00Z', '2023-08-26T14:00:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.18181818181818182, 0.46511627906976744]","[0.6172839506172839, 0.29411764705882354]","[0.25641025641025644, 0.30303030303030304]","[1, 1]","[0, 0]","[0.5555555555555556, 0.5988023952095809]","[0.5235602094240838, 0.47619047619047616]"
Sevilla,"['2023-08-21T17:00:00Z', '2023-08-26T19:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.4166666666666667, 0.21052631578947367]","[0.3125, 0.5882352941176471]","[0.3333333333333333, 0.2631578947368421]","[1, 1]","[0, 0]","[0.6666666666666666, 0.5405405405405405]","[0.4, 0.5405405405405405]"
Real Sociedad,"['2023-08-19T15:00:00Z', '2023-08-25T17:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.2, 0.47619047619047616]","[0.5714285714285714, 0.2631578947368421]","[0.2857142857142857, 0.3225806451612903]","[1, 1]","[0, 0]","[0.625, 0.6944444444444444]","[0.4444444444444444, 0.38167938931297707]"
Celta Vigo,"['2023-08-19T15:00:00Z', '2023-08-25T19:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.5714285714285714, 0.23809523809523808]","[0.2, 0.5714285714285714]","[0.2857142857142857, 0.25]","[1, 1]","[0, 0]","[0.625, 0.48780487804878053]","[0.4444444444444444, 0.5882352941176471]"
Bournemouth,"['2023-08-19T14:00:00Z', '2023-08-26T11:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.8333333333333334, 0.3076923076923077]","[0.07692307692307693, 0.48780487804878053]","[0.15384615384615385, 0.26666666666666666]","[1, 1]","[0, 0]","[0.36363636363636365, 0.45454545454545453]","[0.7142857142857143, 0.6172839506172839]"
Chelsea,"['2023-08-20T15:30:00Z', '2023-08-25T19:00:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.25641025641025644, 0.8474576271186441]","[0.5235602094240838, 0.06666666666666667]","[0.2777777777777778, 0.14285714285714285]","[1, 1]","[0, 0]","[0.5555555555555556, 0.42016806722689076]","[0.5235602094240838, 0.6535947712418301]"
Nantes,['2023-08-20T11:00:00Z'],[0],[0],[1],[0.14285714285714285],[0.7142857142857143],[0.21052631578947367],[1],[0],[0.5],[0.5780346820809249]
Werder Bremen,"['2023-08-18T18:30:00Z', '2023-08-26T13:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.7751937984496123, 0.2]","[0.1111111111111111, 0.6172839506172839]","[0.16666666666666666, 0.23809523809523808]","[1, 1]","[0, 0]","[0.3333333333333333, 0.47619047619047616]","[0.7352941176470588, 0.5988023952095809]"
Frosinone,"['2023-08-19T16:30:00Z', '2023-08-26T16:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.11764705882352941, 0.5555555555555556]","[0.7352941176470588, 0.25]","[0.21052631578947367, 0.25641025641025644]","[1, 1]","[0, 0]","[0.5, 0.48780487804878053]","[0.5780346820809249, 0.5882352941176471]"
Mallorca,"['2023-08-18T17:30:00Z', '2023-08-26T17:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.3333333333333333, 0.3225806451612903]","[0.4081632653061224, 0.4]","[0.3125, 0.3333333333333333]","[1, 1]","[0, 0]","[0.6369426751592356, 0.6944444444444444]","[0.4347826086956522, 0.38167938931297707]"
Liverpool,"['2023-08-19T14:00:00Z', '2023-08-27T15:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.07692307692307693, 0.4444444444444444]","[0.8333333333333334, 0.35714285714285715]","[0.15384615384615385, 0.25641025641025644]","[1, 1]","[0, 0]","[0.36363636363636365, 0.4]","[0.7142857142857143, 0.6666666666666666]"
FSV Mainz 05,"['2023-08-20T13:30:00Z', '2023-08-27T13:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.5, 0.3846153846153846]","[0.26666666666666666, 0.4]","[0.29411764705882354, 0.2777777777777778]","[1, 1]","[0, 0]","[0.5882352941176471, 0.47619047619047616]","[0.48780487804878053, 0.5988023952095809]"
Borussia Monchengladbach,"['2023-08-19T13:30:00Z', '2023-08-26T16:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.4081632653061224, 0.48780487804878053]","[0.3846153846153846, 0.3125]","[0.27027027027027023, 0.2631578947368421]","[1, 1]","[0, 0]","[0.45454545454545453, 0.4444444444444444]","[0.6172839506172839, 0.625]"
Almería,"['2023-08-19T17:30:00Z', '2023-08-26T15:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.13333333333333333, 0.4444444444444444]","[0.7142857142857143, 0.3225806451612903]","[0.20833333333333334, 0.29411764705882354]","[1, 1]","[0, 0]","[0.45454545454545453, 0.5555555555555556]","[0.6172839506172839, 0.5235602094240838]"
FC Heidenheim,"['2023-08-19T13:30:00Z', '2023-08-26T13:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.6369426751592356, 0.3333333333333333]","[0.2, 0.4444444444444444]","[0.22727272727272727, 0.2777777777777778]","[1, 1]","[0, 0]","[0.47619047619047616, 0.47619047619047616]","[0.5988023952095809, 0.5988023952095809]"
Hellas Verona FC,"['2023-08-19T16:30:00Z', '2023-08-26T18:45:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.3333333333333333, 0.5405405405405405]","[0.42016806722689076, 0.23809523809523808]","[0.3076923076923077, 0.2857142857142857]","[1, 1]","[0, 0]","[0.6172839506172839, 0.5882352941176471]","[0.45454545454545453, 0.48780487804878053]"
Stade de Reims,['2023-08-20T13:00:00Z'],[0],[0],[1],[0.25],[0.5464480874316939],[0.26666666666666666],[1],[0],[0.5235602094240838],[0.5555555555555556]
West Ham United,"['2023-08-20T15:30:00Z', '2023-08-26T16:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.5235602094240838, 0.16666666666666666]","[0.25641025641025644, 0.6666666666666666]","[0.2777777777777778, 0.22727272727272727]","[1, 1]","[0, 0]","[0.5555555555555556, 0.4444444444444444]","[0.5235602094240838, 0.625]"
Brighton and Hove Albion,"['2023-08-19T14:00:00Z', '2023-08-26T16:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.25641025641025644, 0.6666666666666666]","[0.5235602094240838, 0.16666666666666666]","[0.27027027027027023, 0.22727272727272727]","[1, 1]","[0, 0]","[0.5235602094240838, 0.4444444444444444]","[0.5555555555555556, 0.625]"
FC Koln,"['2023-08-19T16:30:00Z', '2023-08-26T13:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.15384615384615385, 0.45454545454545453]","[0.7142857142857143, 0.3225806451612903]","[0.2, 0.2777777777777778]","[1, 1]","[0, 0]","[0.4, 0.5235602094240838]","[0.6666666666666666, 0.5555555555555556]"
Newcastle United,"['2023-08-19T19:00:00Z', '2023-08-27T15:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.18181818181818182, 0.35714285714285715]","[0.6369426751592356, 0.4444444444444444]","[0.23809523809523808, 0.25641025641025644]","[1, 1]","[0, 0]","[0.5, 0.4]","[0.5780346820809249, 0.6666666666666666]"
Genoa,"['2023-08-19T18:45:00Z', '2023-08-27T18:45:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.4347826086956522, 0.6944444444444444]","[0.3333333333333333, 0.14285714285714285]","[0.29411764705882354, 0.22727272727272727]","[1, 1]","[0, 0]","[0.5780346820809249, 0.5235602094240838]","[0.5, 0.5555555555555556]"
